signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,initial_sl,initial_tp,sl_pips,tp_pips,max_bars,bars_held,peak_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars,symbol,magic
2024-05-15 16:00:00,2024-05-15 16:15:00,buy,0.7491051600106836,0.01,155.36399999999998,155.431,155.664,155.26399999999998,155.664,10.0,30.0,2,1,16.700000000003,2024-05-15 16:30:00,155.431,trail_sl,4.90000000000357,0.490000000000357,USDJPY,
2024-05-31 17:00:00,2024-05-31 17:15:00,buy,0.7503359145324354,0.01,156.664,156.776,156.964,156.564,156.964,10.0,30.0,2,1,21.20000000000175,2024-05-31 17:30:00,156.776,trail_sl,9.400000000002319,0.940000000000232,USDJPY,
2024-07-08 00:00:00,2024-07-08 00:15:00,sell,0.8773778758900441,0.01,160.705,160.805,160.405,160.805,160.405,10.0,30.0,4,4,4.000000000002046,2024-07-08 01:15:00,160.73,bar_end,-4.299999999997726,-0.4299999999997726,USDJPY,
2024-07-11 17:00:00,2024-07-11 17:15:00,buy,0.7136842916517526,0.01,158.742,158.642,159.042,158.642,159.042,10.0,30.0,2,1,0.0,2024-07-11 17:30:00,158.642,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-07-12 05:15:00,2024-07-12 05:30:00,sell,0.7247388886395507,0.01,159.30400000000003,159.40400000000002,159.00400000000002,159.40400000000002,159.00400000000002,10.0,30.0,2,2,5.200000000002092,2024-07-12 06:00:00,159.268,bar_end,1.8000000000029786,0.18000000000029787,USDJPY,
2024-07-12 17:00:00,2024-07-12 17:15:00,buy,0.787773227158027,0.01,157.85099999999997,157.75099999999998,158.15099999999998,157.75099999999998,158.15099999999998,10.0,30.0,2,1,7.200000000003115,2024-07-12 17:30:00,157.75099999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-07-18 16:30:00,2024-07-18 16:45:00,buy,0.6606834079334781,0.01,156.60099999999997,156.50099999999998,156.90099999999998,156.50099999999998,156.90099999999998,10.0,30.0,1,1,13.60000000000241,2024-07-18 17:00:00,156.662,bar_end,4.300000000003547,0.4300000000003547,USDJPY,
2024-07-24 14:45:00,2024-07-24 15:00:00,sell,0.6562403514564714,0.01,154.08300000000003,154.003,153.78300000000002,154.18300000000002,153.78300000000002,10.0,30.0,1,1,18.000000000003524,2024-07-24 15:15:00,154.003,trail_sl,6.200000000004093,0.6200000000004093,USDJPY,
2024-07-25 15:15:00,2024-07-25 15:30:00,buy,0.7825770354825671,0.01,153.08399999999997,153.64000000000001,153.384,152.98399999999998,153.384,10.0,30.0,2,1,65.60000000000343,2024-07-25 15:45:00,153.64000000000001,trail_sl,53.800000000004005,5.3800000000004005,USDJPY,
2024-07-25 17:00:00,2024-07-25 17:15:00,buy,0.860432530229723,0.01,153.52999999999997,153.594,153.82999999999998,153.42999999999998,153.82999999999998,10.0,30.0,4,1,16.40000000000157,2024-07-25 17:30:00,153.594,trail_sl,4.6000000000021375,0.46000000000021374,USDJPY,
2024-07-26 04:15:00,2024-07-26 04:30:00,sell,0.6583539022314143,0.01,153.55700000000002,153.657,153.257,153.657,153.257,10.0,30.0,1,1,12.300000000001887,2024-07-26 04:45:00,153.593,bar_end,-5.399999999997294,-0.5399999999997295,USDJPY,
2024-07-26 15:45:00,2024-07-26 16:00:00,buy,0.7468504258350606,0.01,154.00099999999998,153.90099999999998,154.301,153.90099999999998,154.301,10.0,30.0,2,1,3.1000000000034333,2024-07-26 16:15:00,153.90099999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-07-29 18:00:00,2024-07-29 18:15:00,buy,0.7431298003862505,0.01,153.956,153.856,154.256,153.856,154.256,10.0,30.0,2,2,1.0000000000019327,2024-07-29 18:45:00,153.965,bar_end,-0.8999999999985449,-0.08999999999985449,USDJPY,
2024-07-31 06:00:00,2024-07-31 06:15:00,buy,0.8395681224421783,0.01,152.81599999999997,152.71599999999998,153.11599999999999,152.71599999999998,153.11599999999999,10.0,30.0,4,1,5.400000000003047,2024-07-31 06:30:00,152.71599999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-07-31 06:30:00,2024-07-31 06:45:00,buy,0.8257125862124083,0.01,153.66099999999997,153.804,153.96099999999998,153.56099999999998,153.96099999999998,10.0,30.0,4,1,24.300000000002342,2024-07-31 07:00:00,153.804,trail_sl,12.50000000000291,1.250000000000291,USDJPY,
2024-07-31 09:15:00,2024-07-31 09:30:00,sell,0.8451911837646388,0.01,152.88000000000002,152.313,152.58,152.98000000000002,152.58,10.0,30.0,4,1,66.700000000003,2024-07-31 09:45:00,152.313,trail_sl,54.90000000000357,5.490000000000357,USDJPY,
2024-07-31 12:00:00,2024-07-31 12:15:00,buy,0.7499249244189718,0.01,150.65299999999996,150.55299999999997,150.95299999999997,150.55299999999997,150.95299999999997,10.0,30.0,2,1,6.800000000004047,2024-07-31 12:30:00,150.55299999999997,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-07-31 18:00:00,2024-07-31 18:15:00,sell,0.6519693159009914,0.01,150.45300000000003,150.381,150.15300000000002,150.55300000000003,150.15300000000002,10.0,30.0,1,1,17.200000000002547,2024-07-31 18:30:00,150.381,trail_sl,5.400000000003115,0.5400000000003116,USDJPY,
2024-07-31 22:30:00,2024-07-31 22:45:00,buy,0.7053395027583456,0.01,149.807,150.191,150.107,149.707,150.107,10.0,30.0,2,2,48.40000000000089,2024-07-31 23:15:00,150.191,trail_sl,36.60000000000146,3.660000000000146,USDJPY,
2024-08-01 03:15:00,2024-08-01 03:30:00,sell,0.7651077951896046,0.01,149.73800000000003,149.44899999999998,149.43800000000002,149.83800000000002,149.43800000000002,10.0,30.0,2,1,38.90000000000384,2024-08-01 03:45:00,149.44899999999998,trail_sl,27.10000000000441,2.710000000000441,USDJPY,
2024-08-01 11:45:00,2024-08-01 12:00:00,sell,0.6812489091234175,0.01,149.75400000000002,149.854,149.454,149.854,149.454,10.0,30.0,1,1,11.700000000001864,2024-08-01 12:15:00,149.667,bar_end,6.900000000001751,0.6900000000001751,USDJPY,
2024-08-01 17:30:00,2024-08-01 17:45:00,buy,0.6890592923406448,0.01,150.063,149.963,150.363,149.963,150.363,10.0,30.0,1,1,6.30000000000166,2024-08-01 18:00:00,149.963,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-02 16:30:00,2024-08-02 16:45:00,buy,0.6549245870964562,0.01,147.087,147.323,147.387,146.987,147.387,10.0,30.0,1,1,33.60000000000127,2024-08-02 17:00:00,147.323,trail_sl,21.80000000000184,2.180000000000184,USDJPY,
2024-08-02 17:00:00,2024-08-02 17:15:00,buy,0.6624300600683161,0.01,146.94199999999998,146.84199999999998,147.242,146.84199999999998,147.242,10.0,30.0,1,1,11.90000000000282,2024-08-02 17:30:00,146.84199999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-05 15:45:00,2024-08-05 16:00:00,buy,0.671106935471377,0.01,142.50799999999998,142.408,142.808,142.408,142.808,10.0,30.0,1,1,12.600000000000477,2024-08-05 16:15:00,142.408,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-05 18:00:00,2024-08-05 18:15:00,buy,0.9189336838740558,0.01,143.24099999999999,143.589,143.541,143.141,143.541,10.0,30.0,4,1,44.80000000000075,2024-08-05 18:30:00,143.589,trail_sl,33.00000000000132,3.300000000000132,USDJPY,
2024-08-06 15:00:00,2024-08-06 15:15:00,sell,0.6737178944919336,0.01,144.746,144.588,144.446,144.846,144.446,10.0,30.0,1,1,25.800000000000978,2024-08-06 15:30:00,144.588,trail_sl,14.000000000001545,1.4000000000001547,USDJPY,
2024-08-06 16:00:00,2024-08-06 16:15:00,buy,0.6511496436409595,0.01,144.26099999999997,144.485,144.56099999999998,144.16099999999997,144.56099999999998,10.0,30.0,1,1,32.40000000000407,2024-08-06 16:30:00,144.485,trail_sl,20.600000000004638,2.0600000000004637,USDJPY,
2024-08-06 17:30:00,2024-08-06 17:45:00,sell,0.7113024427594098,0.01,144.49300000000002,144.59300000000002,144.193,144.59300000000002,144.193,10.0,30.0,2,1,0.0,2024-08-06 18:00:00,144.59300000000002,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-07 04:00:00,2024-08-07 04:15:00,buy,0.7128437163264917,0.01,144.77799999999996,146.536,145.07799999999997,144.67799999999997,145.07799999999997,10.0,30.0,2,1,185.80000000000325,2024-08-07 04:30:00,146.536,trail_sl,174.0000000000038,17.400000000000382,USDJPY,
2024-08-07 09:00:00,2024-08-07 09:15:00,buy,0.6503381009294127,0.01,146.962,146.862,147.262,146.862,147.262,10.0,30.0,1,1,0.0,2024-08-07 09:30:00,146.862,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-07 16:00:00,2024-08-07 16:15:00,buy,0.7363764156558227,0.01,147.15599999999998,147.05599999999998,147.456,147.05599999999998,147.456,10.0,30.0,2,1,3.6000000000029786,2024-08-07 16:30:00,147.05599999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-07 17:00:00,2024-08-07 17:15:00,buy,0.7163972744390028,0.01,146.69699999999997,146.866,146.99699999999999,146.59699999999998,146.99699999999999,10.0,30.0,2,1,26.900000000003388,2024-08-07 17:30:00,146.866,trail_sl,15.100000000003956,1.5100000000003957,USDJPY,
2024-08-08 15:15:00,2024-08-08 15:30:00,buy,0.7949476444455562,0.01,147.02599999999998,147.196,147.326,146.926,147.326,10.0,30.0,2,1,27.000000000001023,2024-08-08 15:45:00,147.196,trail_sl,15.200000000001591,1.5200000000001592,USDJPY,
2024-08-08 16:00:00,2024-08-08 16:15:00,buy,0.7157744336589674,0.01,147.32599999999996,147.446,147.62599999999998,147.22599999999997,147.62599999999998,10.0,30.0,2,1,22.00000000000273,2024-08-08 16:30:00,147.446,trail_sl,10.200000000003296,1.0200000000003298,USDJPY,
2024-08-12 18:15:00,2024-08-12 18:30:00,buy,0.7109691399541198,0.01,147.432,147.332,147.732,147.332,147.732,10.0,30.0,2,2,14.6000000000015,2024-08-12 19:00:00,147.374,bar_end,-7.599999999999272,-0.7599999999999273,USDJPY,
2024-08-13 17:15:00,2024-08-13 17:30:00,buy,0.6557626989288972,0.01,147.105,147.005,147.405,147.005,147.405,10.0,30.0,1,1,0.30000000000143245,2024-08-13 17:45:00,147.005,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-14 16:15:00,2024-08-14 16:30:00,sell,0.7079606520637162,0.01,146.91600000000003,147.01600000000002,146.616,147.01600000000002,146.616,10.0,30.0,2,1,0.20000000000379714,2024-08-14 16:45:00,147.01600000000002,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-15 15:15:00,2024-08-15 15:30:00,buy,0.9187211970841556,0.01,148.77999999999997,149.061,149.07999999999998,148.67999999999998,149.07999999999998,10.0,30.0,4,1,38.100000000002865,2024-08-15 15:45:00,149.061,trail_sl,26.300000000003433,2.630000000000343,USDJPY,
2024-08-16 18:00:00,2024-08-16 18:15:00,buy,0.6695677044342662,0.01,148.19499999999996,148.09499999999997,148.49499999999998,148.09499999999997,148.49499999999998,10.0,30.0,1,1,7.00000000000216,2024-08-16 18:30:00,148.222,bar_end,0.9000000000043655,0.09000000000043656,USDJPY,
2024-08-19 17:30:00,2024-08-19 17:45:00,buy,0.6920026453849956,0.01,146.378,146.278,146.678,146.278,146.678,10.0,30.0,1,1,11.800000000002342,2024-08-19 18:00:00,146.463,bar_end,6.700000000000796,0.6700000000000796,USDJPY,
2024-08-21 23:00:00,2024-08-21 23:15:00,buy,0.6994365212928683,0.01,145.22899999999998,145.129,145.529,145.129,145.529,10.0,30.0,1,1,5.300000000002569,2024-08-21 23:30:00,145.239,bar_end,-0.7999999999980674,-0.07999999999980674,USDJPY,
2024-08-22 04:00:00,2024-08-22 04:15:00,buy,0.7807908005506508,0.01,145.40999999999997,145.479,145.70999999999998,145.30999999999997,145.70999999999998,10.0,30.0,2,1,16.900000000003956,2024-08-22 04:30:00,145.479,trail_sl,5.100000000004525,0.5100000000004525,USDJPY,
2024-08-22 16:00:00,2024-08-22 16:15:00,buy,0.8192099253480769,0.01,145.98,146.15,146.28,145.88,146.28,10.0,30.0,4,1,27.000000000001023,2024-08-22 16:30:00,146.15,trail_sl,15.200000000001591,1.5200000000001592,USDJPY,
2024-08-23 18:00:00,2024-08-23 18:15:00,buy,0.7474903616366118,0.01,144.75699999999998,144.862,145.057,144.65699999999998,145.057,10.0,30.0,2,2,20.50000000000125,2024-08-23 18:45:00,144.862,trail_sl,8.700000000001818,0.870000000000182,USDJPY,
2024-08-26 16:00:00,2024-08-26 16:15:00,buy,0.907702922572179,0.01,144.075,144.184,144.375,143.975,144.375,10.0,30.0,4,1,20.90000000000032,2024-08-26 16:30:00,144.184,trail_sl,9.100000000000886,0.9100000000000887,USDJPY,
2024-08-28 04:00:00,2024-08-28 04:15:00,buy,0.6563163461666667,0.01,144.26699999999997,144.16699999999997,144.56699999999998,144.16699999999997,144.56699999999998,10.0,30.0,1,1,10.000000000002274,2024-08-28 04:30:00,144.16699999999997,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-08-30 17:00:00,2024-08-30 17:15:00,buy,0.7386913861060312,0.01,145.60799999999998,145.50799999999998,145.908,145.50799999999998,145.908,10.0,30.0,2,1,3.4000000000020236,2024-08-30 17:30:00,145.50799999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-09-03 03:00:00,2024-09-03 03:15:00,buy,0.8433498203862069,0.01,146.90999999999997,147.044,147.20999999999998,146.80999999999997,147.20999999999998,10.0,30.0,4,1,23.40000000000373,2024-09-03 03:30:00,147.044,trail_sl,11.600000000004297,1.1600000000004298,USDJPY,
2024-09-04 18:00:00,2024-09-04 18:15:00,buy,0.672332418539653,0.01,144.31199999999998,144.212,144.612,144.212,144.612,10.0,30.0,1,1,2.000000000001023,2024-09-04 18:30:00,144.265,bar_end,-6.499999999999704,-0.6499999999999705,USDJPY,
2024-09-05 17:00:00,2024-09-05 17:15:00,buy,0.7273441852887061,0.01,143.80199999999996,144.131,144.10199999999998,143.70199999999997,144.10199999999998,10.0,30.0,2,1,42.90000000000305,2024-09-05 17:30:00,144.131,trail_sl,31.100000000003615,3.110000000000362,USDJPY,
2024-09-06 16:00:00,2024-09-06 16:15:00,buy,0.7989077325145678,0.01,143.30399999999997,143.752,143.60399999999998,143.20399999999998,143.60399999999998,10.0,30.0,2,1,54.800000000003024,2024-09-06 16:30:00,143.752,trail_sl,43.000000000003595,4.3000000000003595,USDJPY,
2024-09-06 17:00:00,2024-09-06 17:15:00,sell,0.8446581208193428,0.01,142.62500000000003,142.315,142.32500000000002,142.72500000000002,142.32500000000002,10.0,30.0,4,1,41.0000000000025,2024-09-06 17:30:00,142.315,trail_sl,29.20000000000307,2.920000000000307,USDJPY,
2024-09-11 15:00:00,2024-09-11 15:15:00,buy,0.7732645225800255,0.01,141.76799999999997,142.395,142.06799999999998,141.66799999999998,142.06799999999998,10.0,30.0,2,1,72.70000000000323,2024-09-11 15:30:00,142.395,trail_sl,60.9000000000038,6.09000000000038,USDJPY,
2024-09-11 16:00:00,2024-09-11 16:15:00,sell,0.6817170247369533,0.01,142.318,142.137,142.018,142.418,142.018,10.0,30.0,1,1,28.10000000000059,2024-09-11 16:30:00,142.137,trail_sl,16.30000000000116,1.630000000000116,USDJPY,
2024-09-11 16:30:00,2024-09-11 16:45:00,sell,0.6634908871402007,0.01,141.80500000000004,141.6,141.50500000000002,141.90500000000003,141.50500000000002,10.0,30.0,1,1,30.500000000003524,2024-09-11 17:00:00,141.6,trail_sl,18.700000000004092,1.8700000000004093,USDJPY,
2024-09-12 04:00:00,2024-09-12 04:15:00,buy,0.7056584449833416,0.01,142.581,142.481,142.881,142.481,142.881,10.0,30.0,2,2,8.70000000000175,2024-09-12 04:45:00,142.481,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-09-13 10:00:00,2024-09-13 10:15:00,sell,0.6660668569667325,0.01,141.241,141.158,140.941,141.341,140.941,10.0,30.0,1,1,18.300000000002115,2024-09-13 10:30:00,141.158,trail_sl,6.500000000002683,0.6500000000002684,USDJPY,
2024-09-16 15:00:00,2024-09-16 15:15:00,buy,0.7351840830529655,0.01,139.84199999999998,140.346,140.142,139.742,140.142,10.0,30.0,2,1,60.40000000000134,2024-09-16 15:30:00,140.346,trail_sl,48.60000000000191,4.860000000000191,USDJPY,
2024-09-17 15:00:00,2024-09-17 15:15:00,buy,0.7318776094471776,0.01,140.76,140.982,141.06,140.66,141.06,10.0,30.0,2,1,32.20000000000027,2024-09-17 15:30:00,140.982,trail_sl,20.40000000000084,2.040000000000084,USDJPY,
2024-09-18 22:00:00,2024-09-18 22:15:00,buy,0.7575023984685973,0.01,142.027,142.169,142.327,141.927,142.327,10.0,30.0,2,1,24.200000000001864,2024-09-18 22:30:00,142.169,trail_sl,12.400000000002432,1.2400000000002434,USDJPY,
2024-09-19 10:00:00,2024-09-19 10:15:00,buy,0.7350877751874514,0.01,142.218,142.299,142.518,142.118,142.518,10.0,30.0,2,1,18.10000000000116,2024-09-19 10:30:00,142.299,trail_sl,6.300000000001728,0.6300000000001729,USDJPY,
2024-09-19 15:00:00,2024-09-19 15:15:00,buy,0.6900065906963616,0.01,142.742,143.37,143.042,142.642,143.042,10.0,30.0,1,1,72.80000000000086,2024-09-19 15:30:00,143.37,trail_sl,61.000000000001435,6.1000000000001435,USDJPY,
2024-09-20 09:00:00,2024-09-20 09:15:00,buy,0.898638852521541,0.01,141.94499999999996,142.54,142.24499999999998,141.84499999999997,142.24499999999998,10.0,30.0,4,1,69.50000000000216,2024-09-20 09:30:00,142.54,trail_sl,57.70000000000273,5.770000000000273,USDJPY,
2024-09-20 09:30:00,2024-09-20 09:45:00,buy,0.8435908549509331,0.01,142.99599999999998,143.097,143.296,142.896,143.296,10.0,30.0,4,1,20.100000000002183,2024-09-20 10:00:00,143.097,trail_sl,8.30000000000275,0.8300000000002752,USDJPY,
2024-09-20 16:00:00,2024-09-20 16:15:00,buy,0.7001593778990135,0.01,143.87099999999998,143.99200000000002,144.171,143.771,144.171,10.0,30.0,2,1,22.100000000003206,2024-09-20 16:30:00,143.99200000000002,trail_sl,10.300000000003774,1.0300000000003775,USDJPY,
2024-09-27 09:00:00,2024-09-27 09:15:00,sell,0.960220998208847,0.01,143.84700000000004,143.375,143.54700000000003,143.94700000000003,143.54700000000003,10.0,30.0,4,1,57.200000000003115,2024-09-27 09:30:00,143.375,trail_sl,45.400000000003686,4.540000000000369,USDJPY,
2024-09-30 10:15:00,2024-09-30 10:30:00,buy,0.6643929543499683,0.01,142.33299999999997,142.23299999999998,142.63299999999998,142.23299999999998,142.63299999999998,10.0,30.0,1,1,9.700000000003683,2024-09-30 10:45:00,142.368,bar_end,1.700000000002501,0.17000000000025012,USDJPY,
2024-10-01 16:00:00,2024-10-01 16:15:00,sell,0.6596806060344232,0.01,143.90500000000003,143.284,143.60500000000002,144.00500000000002,143.60500000000002,10.0,30.0,1,1,72.1000000000032,2024-10-01 16:30:00,143.284,trail_sl,60.30000000000378,6.030000000000378,USDJPY,
2024-10-01 17:00:00,2024-10-01 17:15:00,buy,0.6542851227496121,0.01,143.29999999999998,143.59300000000002,143.6,143.2,143.6,10.0,30.0,1,1,39.30000000000291,2024-10-01 17:30:00,143.59300000000002,trail_sl,27.500000000003478,2.7500000000003477,USDJPY,
2024-10-02 13:15:00,2024-10-02 13:30:00,buy,0.652797439304104,0.01,144.64299999999997,144.757,144.94299999999998,144.54299999999998,144.94299999999998,10.0,30.0,1,1,21.400000000002706,2024-10-02 13:45:00,144.757,trail_sl,9.600000000003273,0.9600000000003275,USDJPY,
2024-10-04 15:00:00,2024-10-04 15:15:00,buy,0.7364382147381089,0.01,146.515,148.395,146.815,146.415,146.815,10.0,30.0,2,1,198.00000000000182,2024-10-04 15:30:00,148.395,trail_sl,186.20000000000238,18.620000000000235,USDJPY,
2024-11-01 15:00:00,2024-11-01 15:15:00,sell,0.7886327859690262,0.01,152.65000000000003,151.915,152.35000000000002,152.75000000000003,152.35000000000002,10.0,30.0,2,1,83.50000000000364,2024-11-01 15:30:00,151.915,trail_sl,71.70000000000421,7.170000000000421,USDJPY,
2024-11-01 16:00:00,2024-11-01 16:15:00,buy,0.688267982050499,0.01,152.26899999999998,152.16899999999998,152.569,152.16899999999998,152.569,10.0,30.0,1,1,2.400000000002933,2024-11-01 16:30:00,152.16899999999998,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-11-04 00:00:00,2024-11-04 00:15:00,buy,0.7874077632085246,0.01,152.45199999999997,152.35199999999998,152.75199999999998,152.35199999999998,152.75199999999998,10.0,30.0,2,2,0.0,2024-11-04 00:45:00,152.396,bar_end,-7.399999999998317,-0.7399999999998318,USDJPY,
2024-11-04 00:45:00,2024-11-04 01:00:00,buy,0.9465955106250328,0.01,152.384,152.284,152.684,152.284,152.684,10.0,30.0,4,2,8.100000000001728,2024-11-04 01:30:00,152.284,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-11-06 02:00:00,2024-11-06 02:15:00,buy,0.8309142166740323,0.01,152.24299999999997,152.592,152.54299999999998,152.14299999999997,152.54299999999998,10.0,30.0,4,1,44.90000000000407,2024-11-06 02:30:00,152.592,trail_sl,33.10000000000464,3.310000000000464,USDJPY,
2024-11-06 02:30:00,2024-11-06 02:45:00,buy,0.7077418672267688,0.01,152.93399999999997,153.02200000000002,153.23399999999998,152.83399999999997,153.23399999999998,10.0,30.0,2,1,18.800000000004502,2024-11-06 03:00:00,153.02200000000002,trail_sl,7.000000000005071,0.7000000000005071,USDJPY,
2024-11-07 09:30:00,2024-11-07 09:45:00,buy,0.7185835852980145,0.01,154.01599999999996,153.91599999999997,154.31599999999997,153.91599999999997,154.31599999999997,10.0,30.0,2,2,5.600000000004002,2024-11-07 10:15:00,153.91599999999997,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
2024-11-13 16:00:00,2024-11-13 16:15:00,buy,0.65859071379405,0.01,154.55999999999997,154.71,154.85999999999999,154.45999999999998,154.85999999999999,10.0,30.0,1,1,25.000000000002842,2024-11-13 16:30:00,154.71,trail_sl,13.20000000000341,1.3200000000003411,USDJPY,
2024-11-18 02:15:00,2024-11-18 02:30:00,buy,0.6614732128583881,0.01,153.93399999999997,154.239,154.23399999999998,153.83399999999997,154.23399999999998,10.0,30.0,1,1,40.500000000002956,2024-11-18 02:45:00,154.239,trail_sl,28.700000000003524,2.8700000000003523,USDJPY,
2024-11-18 10:15:00,2024-11-18 10:30:00,buy,0.6541879715430544,0.01,154.86199999999997,154.76199999999997,155.16199999999998,154.76199999999997,155.16199999999998,10.0,30.0,1,1,9.500000000002728,2024-11-18 10:45:00,154.954,bar_end,7.400000000004138,0.7400000000004139,USDJPY,
2024-11-18 15:15:00,2024-11-18 15:30:00,sell,0.662073869832468,0.01,154.92900000000003,155.02900000000002,154.62900000000002,155.02900000000002,154.62900000000002,10.0,30.0,1,1,6.30000000000166,2024-11-18 15:45:00,154.904,bar_end,0.7000000000034106,0.07000000000034107,USDJPY,
2024-11-19 10:15:00,2024-11-19 10:30:00,sell,0.6710666300983049,0.01,153.55400000000003,153.65400000000002,153.25400000000002,153.65400000000002,153.25400000000002,10.0,30.0,1,1,8.800000000002228,2024-11-19 10:45:00,153.65400000000002,trail_sl,-11.799999999999432,-1.179999999999943,USDJPY,
